title,type,description,signedDate,expirationDate,status
Red Nacional Académica de Tecnología Avanzada (RENATA),network,Membresía en la red nacional que conecta instituciones académicas y científicas colombianas entre sí y con redes internacionales para la colaboración en investigación.,12/04/2020,12/04/2025,active
Convenio UPC - SENA Regional Cesar,education,"Acuerdo para articulación académica, uso compartido de infraestructura, formación complementaria y desarrollo de proyectos conjuntos de impacto regional.",15/05/2019,15/05/2024,active
Linux Professional Institute Academic Partner,academic,"Alianza con LPI para la formación y certificación profesional en Linux, administración de sistemas y tecnologías open source para estudiantes y docentes.",22/04/2021,22/04/2024,active
Convenio UPC - Cámara de Comercio de Valledupar,industry,"Acuerdo de cooperación para el desarrollo empresarial, emprendimiento tecnológico, transferencia de conocimiento y prácticas en empresas locales.",30/08/2020,30/08/2023,active
UPC - Proyecto Erasmus+,international,"Participación en el programa Erasmus+ de la Unión Europea para movilidad académica, cooperación internacional y desarrollo de capacidades en educación superior.",28/02/2021,28/02/2027,active
Alianza UPC - IEEE,professional,"Convenio con IEEE para establecer un capítulo estudiantil, acceso a recursos académicos, eventos técnicos y participación en la comunidad profesional internacional.",20/11/2019,20/11/2024,active
NVIDIA Academic Program,academic,"Acuerdo con NVIDIA para acceso a tecnologías de inteligencia artificial, computación paralela, GPU computing y herramientas de desarrollo para investigación y docencia.",08/06/2022,08/06/2025,active
CEDIA - Corporación Ecuatoriana para el Desarrollo de Internet Avanzado,international,"Alianza internacional con CEDIA para la cooperación académica, científica y tecnológica entre Colombia y Ecuador en proyectos de investigación y desarrollo.",15/07/2021,15/07/2024,active
ISACA Academic Partner,academic,"Convenio con ISACA para la formación en gobernanza de TI, auditoría de sistemas, seguridad informática y aseguramiento con proyección hacia certificaciones profesionales.",20/02/2022,20/02/2025,active
UPC - Centro Nacional de Consultoría,research,"Acuerdo para el desarrollo de proyectos de investigación social aplicada, analítica de datos y estudios de impacto regional con metodologías avanzadas.",12/03/2021,12/03/2024,active
SAS Academic Program,academic,"Convenio para acceso académico a software SAS para análisis estadístico, minería de datos, business intelligence y analítica avanzada en docencia e investigación.",18/05/2022,18/05/2025,active
UPC - PMI Educational Foundation,academic,"Alianza con el Project Management Institute para la formación en gestión de proyectos, adopción de estándares internacionales y preparación para certificaciones profesionales.",05/10/2021,05/10/2024,active
